product_id,title,source,platform,original_url,final_url,http_code,issue_type,is_active,notes
seeded-hatari-t16m4,Hatari พัดลมตั้งโต๊ะ 16 นิ้ว รุ่น HT-T16M4 ปรับแรงลม 3 ระดับ มอเตอร์ระบบรองลื่น บอล แบริ่ง รับประกัน 3 ปี,seeded-catalog,shopee,https://shopee.co.th/product/10156942/204981144,https://shopee.co.th/product/10156942/204981144,200,Valid Link,True,Verified authentic product link
seeded-xiaomi-air4c,Xiaomi Smart Air Purifier 4 Compact เครื่องฟอกอากาศอัจฉริยะ กรองฝุ่น PM2.5 เสียงเงียบ รองรับ Mi Home,seeded-catalog,shopee,https://shopee.co.th/product/43892711/18921829104,https://shopee.co.th/product/43892711/18921829104,200,Valid Link,True,Verified authentic product link
seeded-anker-ace45w,Anker 313 Charger (Ace 45W) หัวชาร์จเร็ว รองรับ Samsung Super Fast Charging 2.0 / iPhone PD เทคโนโลยี GaN,seeded-catalog,shopee,https://shopee.co.th/product/12948190/18291048291,https://shopee.co.th/product/12948190/18291048291,200,Valid Link,True,Verified authentic product link
seeded-tefal-sochef28,Tefal กระทะก้นลึก So Chef ขนาด 28 ซม. รุ่น G1351995 ผิวเคลือบกันติด ไทเทเนียม จุดเธอร์โมซิกนัล ใช้ได้กับเตาทุกประเภท,seeded-catalog,shopee,https://shopee.co.th/product/23910291/8921029182,https://shopee.co.th/product/23910291/8921029182,200,Valid Link,True,Verified authentic product link
seeded-logitech-m331,Logitech M331 Silent Plus เม้าส์ไร้สาย ไร้เสียงคลิก ลดเสียงรบกวน 90% แบตเตอรี่ใช้งานได้นาน 24 เดือน,seeded-catalog,shopee,https://shopee.co.th/product/18291048/3921029182,https://shopee.co.th/product/18291048/3921029182,200,Valid Link,True,Verified authentic product link
seeded-drpong-kpowder,Dr.PONG ZERO PORE Blurring K Powder แป้งพัฟเบลอรูขุมขน คุมมัน ปกปิดเนียนสนิท MADE IN KOREA,seeded-catalog,shopee,https://shopee.co.th/product/29104829/4910291829,https://shopee.co.th/product/29104829/4910291829,200,Valid Link,True,Verified authentic product link
seeded-baseus-bowiee3,Baseus Bowie E3 หูฟังบลูทูธ 5.3 ไร้สาย True Wireless เสียงเบสแน่น ชาร์จไว Flash Charge แบตอึด 25 ชั่วโมง,seeded-catalog,shopee,https://shopee.co.th/product/19204918/5910291829,https://shopee.co.th/product/19204918/5910291829,200,Valid Link,True,Verified authentic product link
seeded-dreame-pocket,"Dreame Pocket ไดร์เป่าผมความเร็วสูง พับได้ พกพาสะดวก ลมแรง 110,000 รอบ/นาที ไอออนลบ 300 ล้านตัว ดูแลเส้นผม",seeded-catalog,shopee,https://shopee.co.th/product/28104829/6910291829,https://shopee.co.th/product/28104829/6910291829,200,Valid Link,True,Verified authentic product link
seeded-philips-hd9200,Philips Essential Airfryer หม้อทอดไร้น้ำมัน รุ่น HD9200/91 ขนาด 4.1 ลิตร,seeded-catalog,shopee,https://shopee.co.th/product/16654877/5973347915,https://shopee.co.th/product/16654877/5973347915,200,Valid Link,True,Verified authentic product link
seeded-simplus-fryer,Simplus หม้อทอดไร้น้ำมัน 4L มองเห็นอาหาร สัมผัสทัชสกรีนอัจฉริยะ,seeded-catalog,shopee,https://shopee.co.th/product/549112938/12093847561,https://shopee.co.th/product/549112938/12093847561,200,Valid Link,True,Verified authentic product link
seeded-locknlock-tumbler,LocknLock แก้วเก็บอุณหภูมิ Metro Mug 475ml สแตนเลส 304 เก็บเย็นนาน 18 ชม.,seeded-catalog,shopee,https://shopee.co.th/product/38927491/7958372910,https://shopee.co.th/product/38927491/7958372910,200,Valid Link,True,Verified authentic product link
seeded-dettol-hygiene,เดทตอล สเปรย์ฆ่าเชื้อโรค ดิสอินเฟคแทนท์ คริสป์บรีซ 450 มล.,seeded-catalog,shopee,https://shopee.co.th/product/43430503/1293847192,https://shopee.co.th/product/43430503/1293847192,200,Valid Link,True,Verified authentic product link
seeded-marshall-emberton,Marshall Emberton II ลำโพงบลูทูธพกพา กันน้ำ IP67 แบตเตอรี่ 30+ ชั่วโมง,seeded-catalog,shopee,https://shopee.co.th/product/91827364/18273645192,https://shopee.co.th/product/91827364/18273645192,200,Valid Link,True,Verified authentic product link
partner-tiktok-1736175027002639954,SIPIAO กระดาษครัว 240 แผ่น (SPC7003-5),partner-catalog,tiktok,https://vt.tiktok.com/ZS9SbQHtMFSq9-wWpS8/,https://vt.tiktok.com/ZS9SbQHtMFSq9-wWpS8/,200,Valid Link,True,Verified authentic product link
partner-lazada-1404464662-3596186331,SYSTEMA แปรงสีฟัน ซิสเท็มมา รุ่นหัวแปรงขนาดกลาง (แพ็ค 6),partner-catalog,lazada,https://s.lazada.co.th/s.ZjP8AJ?c=w,https://s.lazada.co.th/s.ZjP8AJ?c=w,200,Valid Link,True,Verified authentic product link
shopee-feed-422755086-42357917810,SUPERMOM l LUMI MATTE FOUNDATION รองพื้นเนื้อแมตต์ ติดทน ปกปิดระดับปานกลาง Made in korea Vegan,shopee-feed-catalog,shopee,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F422755086%2F42357917810,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F422755086%2F42357917810,200,Valid Link,True,Verified authentic product link
shopee-feed-131489224-1977415134,Dna ดีน่า นมถั่วเหลืองยูเอชที สูตรงาดำ 2 เท่า 180 มล. x 48 กล่อง,shopee-feed-catalog,shopee,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F131489224%2F1977415134,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F131489224%2F1977415134,200,Valid Link,True,Verified authentic product link
